paymentID,accountID,loanID,paymentDate,actualAmount,paymentHistoryCode,dueDate,totalPrincipal,scheduledAmount,transactionID,category,stage
45422765_012019,45422765_1497,45422765,01/01/2019,194115.69,45422765hist2017,15/01/2019,1082.73,1588.27,T45422765_012019,due,MortgageServicingStage
45422765_122019,45422765_1497,45422765,01/12/2019,182017.95,45422765hist2017,15/12/2019,1114.15,1588.27,T45422765_122019,due,MortgageServicingStage
45422765_102020,45422765_1497,45422765,01/10/2020,170635.62,45422765hist2017,15/10/2020,1143.72,1588.27,T45422765_102020,due,MortgageServicingStage
45422765_122020,45422765_1497,45422765,01/12/2020,168339.24,45422765hist2017,15/12/2020,1149.68,1588.27,T45422765_122020,due,MortgageServicingStage
45422765_012018,45422765_1497,45422765,01/01/2018,206924.45,45422765hist2017,15/01/2018,1049.46,1588.27,T45422765_012018,due,MortgageServicingStage
45422765_012020,45422765_1497,45422765,01/01/2020,180900.90,45422765hist2017,15/01/2020,1117.05,1588.27,T45422765_012020,due,MortgageServicingStage
45422765_122018,45422765_1497,45422765,01/12/2018,195198.42,45422765hist2017,15/12/2018,1079.92,1588.27,T45422765_122018,due,MortgageServicingStage
45422765_102019,45422765_1497,45422765,01/10/2019,184243.36,45422765hist2017,15/10/2019,1108.37,1588.27,T45422765_102019,due,MortgageServicingStage
45422765_102018,45422765_1497,45422765,01/10/2018,197355.45,45422765hist2017,15/10/2018,1074.32,1588.27,T45422765_102018,due,MortgageServicingStage
45422765_122017,45422765_1497,45422765,01/12/2017,207973.91,45422765hist2017,15/12/2017,1046.74,1588.27,T45422765_122017,due,MortgageServicingStage
45422765_012021,45422765_1497,45422765,01/01/2021,167186.56,45422765hist2017,15/01/2021,1152.68,1588.27,T45422765_012021,due,MortgageServicingStage
45422765_112019,45422765_1497,45422765,01/11/2019,183132.10,45422765hist2017,15/11/2019,1111.26,1588.27,T45422765_112019,due,MortgageServicingStage
45422765_092020,45422765_1497,45422765,01/09/2020,171779.34,45422765hist2017,15/09/2020,1140.75,1588.27,T45422765_092020,due,MortgageServicingStage
45422765_082019,45422765_1497,45422765,01/08/2019,186457.22,45422765hist2017,15/08/2019,1102.62,1588.27,T45422765_082019,due,MortgageServicingStage
